Report,CountIfs,Acronym,Description
SR1.5,4,GCP,Global Carbon Project
SR1.5,7,GDP,Gross Domestic Product
SR1.5,2,GE,General Equilibrium
SR1.5,2,GEA,Global Energy Assessment
SR1.5,1,GEM-E3,General Equilibrium Model for Economy - Energy - Environment
SR1.5,1,GENeSYS-MOD,Global Energy System Model
SR1.5,1,GeSI,Global e-Sustainability Initiative
SR1.5,2,GFCF,Gross Fixed Capital Formation
SR1.5,2,GFDL,Geophysical Fluid Dynamic Laboratory
SR1.5,1,GFR,Grid Flexibility Resources
SR1.5,3,Gha,Gigahectares
SR1.5,1,GHCNDEX,Global Historical Climatology Network – Daily climate Extremes
SR1.5,1,GHGs,Greenhouse Gases
SR1.5,3,GHM,Global Hydrological Models
SR1.5,4,GIS,Greenland Ice Sheet
SR1.5,2,GISS,Goddard Institute for Space Studies
SR1.5,3,GISTEMP,Goddard Institute for Space Studies Surface Temperature Analysis
SR1.5,3,GJ,Gigajoules
SR1.5,1,GLEAM,Global Livestock Environmental Assessment Model
SR1.5,1,Glob-HM,Global Hydrological Model
SR1.5,2,GLOBIOM,GLObal BIOsphere Management model
SR1.5,1,GLOFs,Glacial Lake Outburst Floods
SR1.5,4,GM,Genetically Modified
SR1.5,2,GMO,Genetically Modified Organism
SR1.5,5,GMSL,Global Mean Sea Level
SR1.5,5,GMST,Global Mean Surface Temperature
SR1.5,3,GMT,Global Mean Temperature
SR1.5,1,GNHI,Gross National Happiness Index
SR1.5,5,GPP,Gross Primary Productivity
SR1.5,2,GPT,General Purpose Technologies
SR1.5,1,GRAPE,Global Relationship Assessment to Protect the Environment model
SR1.5,4,GSAT,Global mean Surface Air Temperature
SR1.5,3,Gt,Gigatonne
SR1.5,3,GTP,Global Temperature-change Potential
SR1.5,1,GWA,Government of Western Australia
SR1.5,6,GWP,Global Warming Potential or Gross World Product
SR1.5,2,ha,Hectares
SR1.5,2,H2,Hydrogen
SR1.5,1,HadCM,Hadley Centre Coupled Model
SR1.5,2,HadCRUT,Hadley Centre Climatic Research Unit Gridded Surface Temperature Data Set
SR1.5,1,HadEX,Hadley Centre Global Climate Extremes index
SR1.5,2,HadGEM,Hadley Centre Global Environmental Model
SR1.5,1,HadRM,Hadley Centre Regional Model
SR1.5,2,HAPPI,"Half a degree Additional warming, Prognosis and Projected Impacts"
SR1.5,2,HDV,Heavy-Duty Vehicle
SR1.5,2,HEV,Hybrid Electric Vehicle
SR1.5,2,HFCs,Hydrofluorocarbons
SR1.5,1,HLCCP,High-Level Commission on Carbon Prices
SR1.5,2,HLPE,High Level Panel of Experts on Food Security and Nutrition
SR1.5,1,HSRTF,Hurricane Sandy Rebuilding Task Force
SR1.5,1,HTM,Holocene Thermal Maximum
SR1.5,1,HYMOD,HYdrological MODel
SR1.5,2,IAEA,International Atomic Energy Agency
SR1.5,1,IAMC,Integrated Assessment Modelling Consortium
SR1.5,1,IAMs,Integrated Assessment Models
SR1.5,1,IBA,International Bar Association
SR1.5,1,IBI,International Biochar Initiative
SR1.5,1,ICAMS,Integrated Climate and Air Quality Modeling System
SR1.5,1,ICEM,International Centre for Environmental Management
SR1.5,2,ICLEI,International Council for Local Environmental Initiatives
SR1.5,1,ICPDR,International Commission for the Protection of the Danube River
SR1.5,2,ICSU,International Council for Science
SR1.5,4,ICT,Information and Communication Technology
SR1.5,5,IEA,International Energy Agency
SR1.5,1,IEAGHG,IEA Greenhouse Gas R&D Programme
SR1.5,2,IFAD,International Fund for Agricultural Development
SR1.5,3,IFPRI,International Food Policy Research Institute
SR1.5,3,IGCC,Integrated Gasification Combined Cycle
SR1.5,2,IIASA,International Institute for Applied Systems Analysis
SR1.5,1,IIF,Institute of International Finance
SR1.5,3,iLUC,Indirect Land-Use Change
SR1.5,1,IMACLIM-NLU,IMpact Assessment of CLIMate policies model – Nexus Land-Use model
SR1.5,2,IMAGE,Integrated Model to Assess the Global Environment
SR1.5,3,IMF,International Monetary Fund
SR1.5,3,IMO,International Maritime Organization
SR1.5,1,IMPACT2C,Quantifying Projected Impacts under 2°C Warming
SR1.5,1,INDCs,Intended Nationally Determined Contributions
SR1.5,1,INM,Russian Institute for Numerical Mathematics
SR1.5,1,IOM,International Organization for Migration
SR1.5,3,IoT,Internet of Things
SR1.5,6,IPCC,Intergovernmental Panel on Climate Change
SR1.5,2,IPSL,Institute Pierre Simon Laplace
SR1.5,2,IRENA,International Renewable Energy Agency
SR1.5,3,ISIMIP,Inter-Sectoral Impact Model Intercomparison Project
SR1.5,3,ISO,International Standards Organisation
SR1.5,1,ISSC,International Social Science Council
SR1.5,4,ITF,International Transport Forum
SR1.5,3,IUCN,International Union for Conservation of Nature
SR1.5,1,IWG,Interagency Working Group on Social Cost of Greenhouse Gases
SR1.5,3,IWRM,Integrated Water Resources Management
SR1.5,1,JeDi,Jena Diversity-Dynamic Global Vegetation Model
SR1.5,4,JJA,"June, July, August"
SR1.5,2,JMA,Japan Meteorological Agency
SR1.5,2,JRA-55,Japanese 55-year Reanalysis
SR1.5,3,JRC,European Commission – Joint Research Centre
SR1.5,1,JULES,Joint United Kingdom Land Environment Simulator
SR1.5,1,kcal cap-1 day-1,Kilocalories per capita per day
SR1.5,2,km,Kilometres
SR1.5,2,kt,Kilotonnes
SR1.5,4,kWh,Kilowatt hours
SR1.5,1,KNMI,Koninklijk Nederlands Meteorologisch Instituut (Royal Netherlands Meteorological Institute)
SR1.5,2,L,Litres
SR1.5,3,L&D,Loss and Damage
SR1.5,2,LAM,Latin America and Caribbean
SR1.5,2,LDCs,Least Developed Countries
SR1.5,1,LDMz-INCA,Laboratoire de Météorologie Dynamique – INteractions between Chemistry and Aerosols
SR1.5,2,LDV,Light-Duty Vehicle
SR1.5,1,LE,Limited Evidence
SR1.5,3,LED,Low Energy Demand or Light Emitting Diode
SR1.5,3,LGM,Last Glacial Maximum
SR1.5,4,LIG,Last Interglacial
SR1.5,1,LLCFs,Long-Lived Climate Forcers
SR1.5,2,LNG,Liquefied Natural Gas
SR1.5,3,LPG,Liquefied Petroleum Gas
SR1.5,1,LPJmL,Lund-Potsdam-Jena managed Land model
SR1.5,1,LTA,Land Transport Authority of Singapore
SR1.5,2,LTGG,Long-Term Global Goal
SR1.5,5,LUC,Land-Use Change
SR1.5,6,LULUCF,"Land Use, Land-Use Change, and Forestry"
SR1.5,1,m,Metres
SR1.5,1,m3 cap-1 yr-1,Cubic metres per capita per year
SR1.5,1,mg,Milligrams
SR1.5,1,mL,Millilitres
SR1.5,1,mm,Millimetres
SR1.5,2,M&E,Monitoring and Evaluation
SR1.5,3,Ma,Million years ago
SR1.5,3,MAC,Marginal Abatement Cost
SR1.5,1,MacPDM,Macro-scale – Probability-Distributed Moisture Model
SR1.5,3,MAGICC,Model for the Assessment of Greenhouse Gas Induced Climate Change
SR1.5,2,MAgPIE,Model of Agricultural Production and its Impact on the Environment
SR1.5,3,MAM,"March, April, May"
SR1.5,4,MCB,Marine Cloud Brightening
SR1.5,1,MCCA,Mercado Común Centroamericano
SR1.5,3,MDB,Group of Multilateral Development Banks
SR1.5,1,MDGs,Millennium Development Goals
SR1.5,4,MEA,Millennium Ecosystem Assessment
SR1.5,4,MED,South Europe/Mediterranean
SR1.5,1,MEPS,Minimum Energy Performance Standards
SR1.5,1,MER,Market Exchange Rates
SR1.5,1,MERET,Managing Environmental Resources to Enable Transitions
SR1.5,1,MERGE-ETL,Model for Evaluating Regional and Global Effects of greenhouse gas reduction policies – Endogenous Technology Learning
SR1.5,2,MESSAGE,Model for Energy Supply Systems And their General Environmental impact
SR1.5,3,Mha,Megahectare
SR1.5,2,MIROC,Model for Interdisciplinary Research on Climate
SR1.5,4,MISI,Marine Ice Sheet Instability
SR1.5,1,MIT IGSM,Massachusetts Institute of Technology Integrated Global System Model
SR1.5,3,MJ,Megajoules
SR1.5,1,MoCC,Ministry of Climate Change and Adaptation (Government of Vanuatu)
SR1.5,1,MOHC,Met Office Hadley Centre
SR1.5,1,MOPEX,Model Parameter Estimation Experiment
SR1.5,1,MPAs,Marine Protected Areas
SR1.5,3,MPI,Max-Planck-Institut für Meteorologie (Max Planck Institute for Meteorology)
SR1.5,3,MPWP,Mid Pliocene Warm Period
SR1.5,1,MRFCJ,Mary Robinson Foundation – Climate Justice
SR1.5,2,MRI,Meteorological Research Institute of Japan Meteorological Agency
SR1.5,5,MRV,"Measurement, Reporting and Verification"
SR1.5,1,MSR,Multi-Sector Risk score
SR1.5,3,Mt,Megatonnes
SR1.5,2,N,Nitrogen
SR1.5,5,N2O,Nitrous oxide
SR1.5,5,NAP,National Adaptation Plan
SR1.5,2,NAS,North Asia
SR1.5,2,NASA,National Aeronautics and Space Administration
SR1.5,1,NASEM,"National Academies of Sciences, Engineering, and Medicine"
SR1.5,2,NAU,North Australia
SR1.5,2,NCAR,National Center for Atmospheric Research
SR1.5,2,NCCARF,National Climate Change Adaptation Research Facility
SR1.5,2,NCE,New Climate Economy
SR1.5,1,NDCs,Nationally Determined Contributions
SR1.5,1,NEA,Nuclear Energy Agency
SR1.5,1,NEB,North-East Brazil
SR1.5,1,NEC,National Environment Commission (Royal Government of Bhutan)
SR1.5,1,NETL,National Energy Technology Laboratory (US Department of Energy)
SR1.5,3,NEU,North Europe
SR1.5,3,NF3,Nitrogen trifluoride
SR1.5,5,NGO,Non-Governmental Organization
SR1.5,3,NH3,Ammonia
SR1.5,1,NHD,Number of Hot Days
SR1.5,1,NITI Aayog,National Institution for Transforming India
SR1.5,3,NMVOC,Non-Methane Volatile Organic Compounds
SR1.5,5,NOAA,National Oceanic and Atmospheric Administration
SR1.5,2,NorESM,Norwegian Earth System Model
SR1.5,2,NOx,Nitrogen oxides
SR1.5,1,NPCC,New York City Panel on Climate Change
SR1.5,5,NPP,Net Primary Productivity
SR1.5,3,NPV,Net Present Value
SR1.5,2,NRC,National Research Council
SR1.5,2,NSR,Northern Sea Route
SR1.5,1,NTP,Pacific Islands region [2]
SR1.5,1,NYC,New York City
SR1.5,1,NZAGRC,New Zealand Agricultural Greenhouse Gas Research Center
SR1.5,2,O2,Oxygen
SR1.5,3,O3,Ozone
SR1.5,5,OA,Ocean Acidification or Ocean Alkalinization
SR1.5,3,OC,Organic Carbon
SR1.5,5,OECD,Organisation for Economic Co-operation and Development
SR1.5,1,OGCC,Optimal Gasification Combined Cycle
SR1.5,1,OHCHR,Office of the United Nations High Commissioner for Human Rights
SR1.5,1,OIF,Ocean Iron Fertilisation
SR1.5,2,ORCHIDEE,ORganising Carbon and Hydrology In Dynamic EcosystEms model
SR1.5,1,ORR,NYC Mayor's Office of Recovery & Resiliency
SR1.5,2,OS,Overshoot
SR1.5,2,pp,People
SR1.5,3,ppb,Parts per billion
SR1.5,2,ppm,Parts per million
SR1.5,1,ppt,Parts per thousand
SR1.5,2,P,Precipitation or Phosphorous
SR1.5,1,PAGE,Policy Analysis of the Greenhouse Effect model
SR1.5,1,PAHO,Pan American Health Organization
SR1.5,1,PCM,Parallel Climate Model
SR1.5,3,PDSI,Palmer Drought Severity Index
SR1.5,2,PE,Primary Energy or Partial Equilibrium
SR1.5,3,PET,Physiologically Equivalent Temperature or Potential Evapo-Transpiration
SR1.5,3,PFCs,Perfluorocarbons
SR1.5,1,Pg,Petagrams
SR1.5,2,PHEV,Plug-in Hybrid Electric Vehicle
SR1.5,1,PIK,Potsdam-Institut für Klimafolgenforschung (Potsdam Institute for Climate Impact Research)
SR1.5,2,PM10,Particulate Matter with Aerodynamic Diameter <10 μm
SR1.5,3,PM2.5,Particulate Matter with Aerodynamic Diameter <2.5 μm
SR1.5,1,POLES,Prospective Outlook on Long-term Energy Systems model
SR1.5,4,PPP,Purchasing Power Parity
SR1.5,1,PR,Probability Ratio
SR1.5,3,PV,Photovoltaics
SR1.5,3,R&D,Research and Development
SR1.5,1,RCA,Rossby Centre Regional Atmospheric Model
SR1.5,1,RCI,Rotterdam Climate Initiative
SR1.5,6,RCM,Regional Climate Model
SR1.5,2,RCPs,Representative Concentration Pathways
SR1.5,3,REDD+,"Reducing Emissions from Deforestation and forest Degradation; and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks in developing countries"
SR1.5,1,ReEDS-IPM,Regional Electricity Deployment System model – Integrated Planning Model
SR1.5,2,RegCM,Regional Climate Model system
SR1.5,2,REMIND,REgional Model of INvestments and Development
SR1.5,2,REN21,Renewable Energy Policy Network for the 21st Century
SR1.5,3,RF,Radiative Forcing
SR1.5,4,RFC,Reason for Concern
SR1.5,1,RGoB,Royal Government of Bhutan
SR1.5,1,RMI,Rocky Mountain Institute
SR1.5,1,RNCFC,Reference Non-CO2 Forcing Contribution
SR1.5,1,RNCTC,Reference Non-CO2 Temperature Contribution
SR1.5,2,Rx1day,Annual maximum 1-day precipitation
SR1.5,1,Rx5day,Annual maximum 5-day precipitation
SR1.5,2,SAF,Southern Africa
SR1.5,3,SAH,Sahara
SR1.5,4,SAI,Stratospheric Aerosol Injection
SR1.5,1,SAMS,South American Monsoon System
SR1.5,4,SAR,IPCC Second Assessment Report
SR1.5,4,SAS,South Asia
SR1.5,3,SAT,Surface Air Temperature
SR1.5,2,SAU,South Australia/New Zealand
SR1.5,2,SBSTA,Subsidiary Body for Scientific and Technological Advice (UNFCCC)
SR1.5,4,SCC,Social Cost of Carbon
SR1.5,2,SCS,Soil Carbon Sequestration
SR1.5,4,SD,Sustainable Development
SR1.5,2,SDGs,Sustainable Development Goals
SR1.5,1,SDGVM,Sheffield Dynamic Global Vegetation Model
SR1.5,1,SDII,Simple Daily Intensity Index
SR1.5,2,SDSN,Sustainable Development Solutions Network
SR1.5,3,SEA,Southeast Asia
SR1.5,1,SEAPs,Sustainable Energy Action Plans
SR1.5,2,SED,Structured Expert Dialogue
SR1.5,2,SEM,Semi-Empirical Model
SR1.5,4,SF6,Sulphur hexafluoride
SR1.5,2,SFM,Sustainable Forest Management
SR1.5,7,SIDS,Small Island Developing States
SR1.5,1,SIFMA,Securities Industry and Financial Markets Association
SR1.5,1,SLCFs,Short-Lived Climate Forcers
SR1.5,1,SLCPs,Short-Lived Climate Pollutants
SR1.5,5,SLR,Sea Level Rise
SR1.5,4,SM,Supplementary Material
SR1.5,1,SMA,Soil Moisture Anomalies
SR1.5,1,SMHI,Swedish Meteorological and Hydrological Institute
SR1.5,4,SO2,Sulphur dioxide
SR1.5,1,SOLARIS HEPPA,SOLARIS High Energy Particle Precipitation in the Atmosphere
SR1.5,3,SON,"September, October, November"
SR1.5,2,SOx,Sulphur oxides
SR1.5,1,SPAs,Shared climate Policy Assumptions
SR1.5,1,SPC,Secretariat of the Pacific Community
SR1.5,3,SPEI,Standardized Precipitation Evapotranspiration Index
SR1.5,3,SPI,Standardised Precipitation Index
SR1.5,6,SPM,Summary for Policymakers
SR1.5,5,SR1.5,IPCC Special Report on Global Warming of 1.5°C
SR1.5,7,SRCCL,IPCC Special Report on Climate Change and Land
SR1.5,5,SRES,IPCC Special Report on Emissions Scenarios
SR1.5,4,SREX,IPCC Special Report on Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation
SR1.5,6,SRM,Solar Radiation Modification
SR1.5,7,SROCC,IPCC Special Report on the Ocean and Cryosphere in a Changing Climate
SR1.5,3,SSA,Southeastern South America
SR1.5,2,SSPs,Shared Socioeconomic Pathways
SR1.5,5,SST,Sea Surface Temperature
SR1.5,1,STP,Southern Tropical Pacific
SR1.5,2,SWAT,Soil & Water Assessment Tool
SR1.5,1,SWF,Social Welfare Function
SR1.5,3,SYR,IPCC Synthesis Report
SR1.5,3,t,Tonnes
SR1.5,1,tDM,Tonnes Dry Matter
SR1.5,1,tril$,Trillion dollars
SR1.5,3,T,Temperature or Transient
SR1.5,1,T&D,Transmission and Distribution
SR1.5,3,TCR,Transient Climate Response
SR1.5,3,TCRE,Transient Climate Response to cumulative CO2 Emissions
SR1.5,1,TEAP,Technology and Economic Assessment Panel
SR1.5,1,TFE,Thematic Focus Element
SR1.5,2,TFP,Total Factor Productivity
SR1.5,3,Tg,Teragrams
SR1.5,3,TIB,Tibetan Plateau
SR1.5,2,TNn,Coldest night-time temperature of the year
SR1.5,2,TOD,Transit Oriented Development
SR1.5,4,TS,Technical Summary
SR1.5,1,Tt,Teratonnes
SR1.5,1,TTs,Transition Towns
SR1.5,1,TXx,Hottest daytime temperature of the year
SR1.5,1,UCCRN,Urban Climate Change Research Network
SR1.5,5,UHI,Urban Heat Islands
SR1.5,1,UITP,Union Internationale des Transports Publics (International Association of Public Transport)
SR1.5,1,UKCP,United Kingdom Climate Projections
SR1.5,3,UN,United Nations
SR1.5,1,UN DESA,United Nations Department of Economic and Social Affairs
SR1.5,2,UNCBD,United Nations Convention on Biological Diversity
SR1.5,4,UNDP,United Nations Development Programme
SR1.5,6,UNEP,UN Environment
SR1.5,1,UNEP-WCMC,UNEP World Conservation Monitoring Centre
SR1.5,2,UNESCO,"United Nations Educational, Scientific and Cultural Organization"
SR1.5,7,UNFCCC,United Nations Framework Convention on Climate Change
SR1.5,1,UNGA,United Nations General Assembly
SR1.5,3,UNICEF,United Nations International Children's Emergency Fund
SR1.5,2,UNISDR,United Nations Office for Disaster Risk Reduction
SR1.5,1,UN-OHRLLS,"Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States"
