Chapter_QID_URL,Chapter_Label,Report,Chapter
http://localhost:8080/entity/Q135,Decision-Making Options for Managing Risk,WGII,Chapter 17: Decision-making options for managing risk
http://localhost:8080/entity/Q136,Climate Resilient Development Pathways,WGII,Chapter 18: Climate resilient development pathways
http://localhost:8080/entity/Q111,Point of Departure and Key Concepts,WGII,Chapter 1: Point of departure and key concepts
http://localhost:8080/entity/Q112,Terrestrial and Freshwater Ecosystems and Their Services,WGII,Chapter 2: Terrestrial and freshwater ecosystems and their services
http://localhost:8080/entity/Q114,Oceans and Coastal Ecosystems and Their Services,WGII,Chapter 3: Ocean and coastal ecosystems and their services
http://localhost:8080/entity/Q116,Water,WGII,Chapter 4: Water
http://localhost:8080/entity/Q117,"Food, Fibre and Other Ecosystem Products",WGII,"Chapter 5: Food, fibre, and other ecosystem products"
http://localhost:8080/entity/Q120,"Cities, Settlements and Key Infrastructure",WGII,"Chapter 6: Cities, settlements and key infrastructure"
http://localhost:8080/entity/Q123,"Health, Wellbeing and the Changing Structure of Communities",WGII,"Chapter 7: Health, wellbeing and the changing structure of communities"
http://localhost:8080/entity/Q125,"Poverty, Livelihoods and Sustainable Development",WGII,"Chapter 8: Poverty, livelihoods and sustainable development"
http://localhost:8080/entity/Q126,Africa,WGII,Chapter 9: Africa
http://localhost:8080/entity/Q140,Biodiversity Hotspots,WGII,Cross-Chapter Paper: Biodiversity Hotspots
http://localhost:8080/entity/Q141,Cities and Settlements by the Sea,WGII,Cross-Chapter Paper: Cities and Settlements by the Sea
http://localhost:8080/entity/Q142,"Deserts, Semiarid Areas and Desertification",WGII,"Cross-Chapter Paper: Deserts, Semi-arid Areas, and Desertification"
http://localhost:8080/entity/Q143,Mediterranean Region,WGII,Cross-Chapter Paper: Mediterranean Region
http://localhost:8080/entity/Q145,Mountains,WGII,Cross-Chapter Paper: Mountains
http://localhost:8080/entity/Q146,Polar Regions,WGII,Cross-Chapter Paper: Polar Regions
http://localhost:8080/entity/Q149,Tropical Forests,WGII,Cross-Chapter Paper: Tropical Forests
http://localhost:8080/entity/Q176,Transport,WGIII,Chapter 10: Transport
http://localhost:8080/entity/Q178,Industry,WGIII,Chapter 11: Industry
http://localhost:8080/entity/Q179,Cross-sectoral Perspectives,WGIII,Chapter 12: Cross sectoral perspectives
http://localhost:8080/entity/Q181,National and Sub-national Policies and Institutions,WGIII,Chapter 13: National and sub-national policies and institutions
http://localhost:8080/entity/Q183,International Cooperation,WGIII,Chapter 14: International cooperation
http://localhost:8080/entity/Q184,Investment and Finance,WGIII,Chapter 15: Investment and finance
http://localhost:8080/entity/Q186,"Innovation, Technology Development and Transfer",WGIII,"Chapter 16: Innovation, technology development and transfer"
http://localhost:8080/entity/Q188,Accelerating the Transition in the Context of Sustainable Development,WGIII,Chapter 17: Accelerating the transition in the context of sustainable development
http://localhost:8080/entity/Q154,Introduction and Framing,WGIII,Chapter 1: Introduction and Framing
http://localhost:8080/entity/Q157,Emissions Trends and Drivers,WGIII,Chapter 2: Emissions trends and drivers
http://localhost:8080/entity/Q158,Mitigation Pathways Compatible with Long-term Goals,WGIII,Chapter 3: Mitigation pathways compatible with long-term goals
http://localhost:8080/entity/Q160,Mitigation and Development Pathways in the Near to Mid-term,WGIII,Chapter 4: Mitigation and development pathways in the near-to mid-term
http://localhost:8080/entity/Q164,"Demand, Services and Social Aspects of Mitigation",WGIII,"Chapter 5: Demand, services and social aspects of mitigation"
http://localhost:8080/entity/Q168,Energy Systems,WGIII,Chapter 6: Energy systems
http://localhost:8080/entity/Q170,"Agriculture, Forestry and Other Land Uses (AFOLU)",WGIII,"Chapter 7: Agriculture, Forestry, and Other Land Uses (AFOLU)"
http://localhost:8080/entity/Q172,Urban Systems and Other Settlements,WGIII,Chapter 8: Urban systems and other settlements
http://localhost:8080/entity/Q174,Buildings,WGIII,Chapter 9: Buildings
